7.375E-4	2628
7.4E-4	2696
7.425E-4	2578
7.45E-4	2745
7.475E-4	2659
7.5E-4	2590
7.525E-4	2630
7.55E-4	2592
7.575E-4	2550
7.6E-4	2609
7.625E-4	2745
7.65E-4	2716
7.675E-4	2545
7.7E-4	2622
7.725E-4	2622
7.75E-4	2762
7.775E-4	2634
7.8E-4	2748
7.825E-4	2733
7.85E-4	2698
7.875E-4	2658
7.9E-4	2612
7.925E-4	2727
7.95E-4	2605
7.975E-4	2759
8E-4	2688
8.025E-4	2736
8.05E-4	2772
8.075E-4	2770
8.1E-4	2658
8.125E-4	2796
8.15E-4	2784
8.175E-4	2830
8.2E-4	2807
8.225E-4	2841
8.25E-4	2770
8.275E-4	2862
8.3E-4	2697
8.325E-4	2702
8.35E-4	2782
8.375E-4	2788
8.4E-4	2923
8.425E-4	2795
8.45E-4	2667
8.475E-4	2799
8.5E-4	2660
8.525E-4	2817
8.55E-4	2719
8.575E-4	2731
8.6E-4	2902
8.625E-4	2756
8.65E-4	2763
8.675E-4	2786
8.7E-4	2851
8.725E-4	2817
8.75E-4	2852
8.775E-4	2736
8.8E-4	2795
8.825E-4	2765
8.85E-4	2851
8.875E-4	2785
8.9E-4	2809
8.925E-4	2808
8.95E-4	2764
8.975E-4	2849
9E-4	2720
9.025E-4	2796
9.05E-4	2827
9.075E-4	2846
9.1E-4	2860
9.125E-4	2901
9.15E-4	2931
9.175E-4	2830
9.2E-4	2811
9.225E-4	2888
9.25E-4	2852
9.275E-4	2871
9.3E-4	2839
9.325E-4	2949
9.35E-4	2859
9.375E-4	2943
9.4E-4	2797
9.425E-4	2887
9.45E-4	2888
9.475E-4	2899
9.5E-4	2744
9.525E-4	2798
9.55E-4	2857
9.575E-4	2825
9.6E-4	2857
9.625E-4	2829
9.65E-4	2989
9.675E-4	2821
9.7E-4	2868
9.725E-4	2679
9.75E-4	2914
9.775E-4	2822
9.8E-4	2942
9.825E-4	2841
9.85E-4	2906
9.875E-4	2958
9.9E-4	2838
9.925E-4	2958
9.95E-4	2885
9.975E-4	2841
1E-3	2921
0.0010025	2937
0.001005	2911
0.0010075	2840
0.00101	2867
0.0010125	2912
0.001015	2852
0.0010175	2955
0.00102	2815
0.0010225	2728
0.001025	2771
0.0010275	2972
0.00103	3001
0.0010325	2896
0.001035	2904
0.0010375	2949
0.00104	2838
0.0010425	2882
0.001045	2847
0.0010475	2931
0.00105	2960
0.0010525	2855
0.001055	2941
0.0010575	2823
0.00106	2958
0.0010625	2923
0.001065	2946
0.0010675	2862
0.00107	2836
0.0010725	2861
0.001075	2800
0.0010775	2755
0.00108	2864
0.0010825	2934
0.001085	2734
0.0010875	2857
0.00109	2940
0.0010925	2861
0.001095	2985
0.0010975	2908
